time_period,time_identifier,geographic_level,country_code,country_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201920,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,46.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,12.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,14.0
202021,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,2.0
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,41.4
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,50.5
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,12.3
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,13.1
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,22.3
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,31.2
200910,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,3.4
200910,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,3.8
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,43.5
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,52.2
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,13.2
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,13.9
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,33.2
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,24.4
201011,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,4.3
201011,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,3.8
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,45.5
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,54.2
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,13.9
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,14.6
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,26.4
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,35.2
201112,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.3
201112,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,4.7
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,55.0
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,46.3
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,14.8
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.1
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,36.3
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,27.4
201213,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.1
201213,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.6
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,56.0
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,47.5
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,15.1
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.5
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,27.8
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,36.9
201314,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.8
201314,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.2
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,47.8
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,Total,56.3
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.7
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,All Other Pupils,High tariff,15.3
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,28.4
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,Total,37.7
201415,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.9
201415,Academic year,National,E92000001,England,By Age 25,Disadvantage,Disadvantaged,High tariff,5.4
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,48.5
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.9
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,28.8
201516,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,5.0
201617,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,49.4
201617,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,15.1
201617,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,30.8
201617,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,5.4
201718,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,51.8
201718,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,16.3
201718,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,32.5
201718,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,6.3
201819,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,51.9
201819,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,16.6
201819,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,31.9
201819,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,6.2
201920,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,50.7
201920,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,15.5
201920,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,31.4
201920,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,5.8
202021,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,Total,49.5
202021,Academic year,National,E92000001,England,By Age 19,Disadvantage,All Other Pupils,High tariff,14.5
202021,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,Total,30.1
202021,Academic year,National,E92000001,England,By Age 19,Disadvantage,Disadvantaged,High tariff,4.9
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,High tariff,14.9
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,High tariff,14.1
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,Total,65.1
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,Total,55.7
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,High tariff,6.1
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,High tariff,6.9
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,Total,44.1
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,Total,59.8
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,10.4
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,11.3
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,Total,37.3
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,Total,48.6
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,High tariff,11.6
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,High tariff,13.0
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,Total,46.1
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,Total,58.8
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,High tariff,9.7
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,High tariff,9.1
200506,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,Total,39.3
200506,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,Total,31.6
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,High tariff,15.9
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,High tariff,15.1
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,Total,65.8
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,Total,56.1
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,High tariff,7.0
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,High tariff,7.7
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,Total,46.1
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,Total,62.2
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,10.6
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,11.6
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,Total,38.4
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,Total,49.3
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,High tariff,13.6
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,High tariff,12.7
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,Total,58.5
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,Total,46.2
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,High tariff,9.1
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,High tariff,9.7
200607,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,Total,32.9
200607,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,Total,40.5
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,High tariff,15.9
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,High tariff,15.2
