time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,By Age 25,Free School Meals,All Other Pupils,High tariff,13.4
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,By Age 25,Free School Meals,All Other Pupils,High tariff,11.0
201415,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,By Age 25,Free School Meals,All Other Pupils,High tariff,17.0
201415,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,By Age 25,Free School Meals,All Other Pupils,High tariff,15.9
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,By Age 25,Free School Meals,All Other Pupils,High tariff,8.2
201415,Academic year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,By Age 25,Free School Meals,All Other Pupils,High tariff,14.8
201415,Academic year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,By Age 25,Free School Meals,All Other Pupils,High tariff,14.6
201415,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,By Age 25,Free School Meals,All Other Pupils,High tariff,18.4
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,By Age 25,Free School Meals,All Other Pupils,High tariff,8.1
201415,Academic year,Local authority,E92000001,England,E12000007,London,206,E09000019,Islington,By Age 25,Free School Meals,All Other Pupils,High tariff,16.8
201415,Academic year,Local authority,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,By Age 25,Free School Meals,All Other Pupils,High tariff,20.5
201415,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,By Age 25,Free School Meals,All Other Pupils,High tariff,11.3
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,By Age 25,Free School Meals,All Other Pupils,High tariff,20.5
201415,Academic year,Local authority,E92000001,England,E12000007,London,315,E09000024,Merton,By Age 25,Free School Meals,All Other Pupils,High tariff,17.4
